Expert_ID,Alternative_ID,Criteria_ID,Evaluation
E6,A1,Q4,EG
E6,A1,Q5,VVG
E6,A1,Q6,VVG
E6,A2,Q1,VG
E6,A2,Q2,EG
E6,A2,Q3,EG
E6,A2,Q4,VVG
E6,A2,Q5,VVG
E6,A2,Q6,G
E6,A3,Q1,VG
E6,A3,Q2,VG
E6,A3,Q3,VVG
E6,A3,Q4,EG
E6,A3,Q5,VVG
E6,A3,Q6,VVG
E6,A4,Q1,VG
E6,A4,Q2,VVG
E6,A4,Q3,VVG
E6,A4,Q4,VVG
E6,A4,Q5,VG
E6,A4,Q6,VG
E6,A5,Q1,EG
E6,A5,Q2,VVG
E6,A5,Q3,VVG
E6,A5,Q4,VVG
E6,A5,Q5,VG
E6,A5,Q6,G
E6,A6,Q1,G
E6,A6,Q2,VG
E6,A6,Q3,VVG
E6,A6,Q4,VVG
E6,A6,Q5,VVG
E6,A6,Q6,G
E6,A7,Q1,G
E6,A7,Q2,VVG
E6,A7,Q3,G
E6,A7,Q4,VG
E6,A7,Q5,G
E6,A7,Q6,VG
E6,A8,Q1,VG
E6,A8,Q2,EG
E6,A8,Q3,M
E6,A8,Q4,MG
E6,A8,Q5,VVG
E6,A8,Q6,MG
E7,A1,Q1,VG
E7,A1,Q2,VVG
E7,A1,Q3,VVG
E7,A1,Q4,VG
E7,A1,Q5,VVG
E7,A1,Q6,G
E7,A2,Q1,G
E7,A2,Q2,VVG
E7,A2,Q3,G
E7,A2,Q4,VG
E7,A2,Q5,VVG
E7,A2,Q6,VVG
E7,A3,Q1,MG
E7,A3,Q2,G
E7,A3,Q3,VG
E7,A3,Q4,VVG
E7,A3,Q5,G
E7,A3,Q6,VG
E7,A4,Q1,MG
E7,A4,Q2,VVG
E7,A4,Q3,G
E7,A4,Q4,G
E7,A4,Q5,M
E7,A4,Q6,VG
E7,A5,Q1,VG
E7,A5,Q2,VG
E7,A5,Q3,VVG
E7,A5,Q4,VG
E7,A5,Q5,VG
E7,A5,Q6,M
E7,A6,Q1,G
E7,A6,Q2,VVG
E7,A6,Q3,MG
E7,A6,Q4,MG
E7,A6,Q5,MG
E7,A6,Q6,MG
E7,A7,Q1,MG
E7,A7,Q2,G
E7,A7,Q3,M
E7,A7,Q4,M
E7,A7,Q5,MB
E7,A7,Q6,G
E7,A8,Q1,MG
E7,A8,Q2,VG
E7,A8,Q3,VG
E7,A8,Q4,MG
E7,A8,Q5,MG
E7,A8,Q6,MG
E8,A1,Q1,EG
E8,A1,Q2,EG
E8,A1,Q3,VVG
E8,A1,Q4,EG
E8,A1,Q5,VVG
E8,A1,Q6,G
E8,A2,Q1,VVG
